id,city,name,link,img,address,rating,price,Front desk [24-hour],Kids club,Playground,Kitchen,Swimming pool [indoor],Golf course [on-site],Swimming pool [kids],Hot tub,Jacuzzi,Steamroom,Shared kitchen,Nightclub,Family room,Garden,Massage,Swimming pool [outdoor],Bar,Spa,Golf course (within 3 km),Shops,Sauna,Tennis court,Fitness center,Babysitting service,Restaurants
DaLat28,Da Lat,Marguerite Hotel,https://www.agoda.com/marguerite-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/568/568720/568720_14042615330019216222.jpg?s=1024x768,"30-32 Nguyen Chi Thanh street - ward 1 - Da Lat city, Dalat City Center, Dalat, Vietnam, 8463",7.5,742115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DaLat29,Da Lat,Monet Garden Resort,https://www.agoda.com/monet-garden-resort/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=4,https://pix6.agoda.net/hotelImages/73308/-1/aab22386ac59b18a2e198012d3804512.jpg?s=1024x768,"3 Nguyen Du Street, Da Lat City, Lam Dong Province, Old Train Station, Dalat, Vietnam",7.9,586753,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
DaLat30,Da Lat,L'ang Homes,https://www.agoda.com/l-ang-homes/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/253/2531891/2531891_17072312400054621130.jpg?s=1024x768,"28A Pasteur, Ward 4, Dalat City Center, Dalat, Vietnam, 670000",8.6,432900,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DaLat31,Da Lat,Terracotta Villa Tuyen Lam Lake Dalat,https://www.agoda.com/terracotta-villa-tuyen-lam-lake-dalat_2/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/2277669/-1/ccf6267da86461589c92ef8a3fc79d40.jpg?s=1024x768,"Zone 7.9, Tuyen Lam Lake Tourist Area, Ward 3, Tuyen Lam Lake, Dalat, Vietnam",8.6,1275000,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DaLat32,Da Lat,Interstella Hotel,https://www.agoda.com/interstella-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix5.agoda.net/hotelImages/6177083/-1/e05f6756406120fac0b420d4e0316569.jpg?s=1024x768,"1-3, Hai Ba Trung, Phuong 6, Dalat City Center, Dalat, Vietnam, 670000",8.0,642857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DaLat33,Da Lat,Dalat Green City Hotel,https://www.agoda.com/dalat-green-city-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix5.agoda.net/hotelImages/255/255400/255400_110909104258129.jpg?s=1024x768,"172 Phan Dinh Phung, Dalat City Center, Dalat, Vietnam, 6001",6.8,173160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DaLat34,Da Lat,Camellia Villa Dalat,https://www.agoda.com/camellia-villa-dalat/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix5.agoda.net/hotelImages/525/5259698/5259698_18062914550066550249.jpg?s=1024x768,"21A To Hien Thanh St,Ward 3, Dalat City, Lam Dong Province, Dalat City Center, Dalat, Vietnam, 84",7.4,500000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DaLat35,Da Lat,Mr.Peace Backpackers House,https://www.agoda.com/mr-peace-backpackers-house/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/687197/-1/ee0bda95d6498da88e2241e47f899271.jpg?s=1024x768,"3/8 Hai Ba Trung, Dalat City Center, Dalat, Vietnam, 123456",8.6,86580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
DaLat44,Da Lat,New Life Hotel Dalat,https://www.agoda.com/new-life-hotel-dalat/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix5.agoda.net/hotelImages/6433136/-1/ca14badc644238f20c9b58dcc60cbf8e.jpg?s=1024x768,"6 Dong Da St, 3rd Ward, Dalat, Vietnam, Dalat City Center, Dalat, Vietnam, 66000",9.7,746667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DaLat45,Da Lat,Tulip Xanh Hotel,https://www.agoda.com/tulip-xanh-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/301/301651/301651_14030908400018611988.jpg?s=1024x768,"80-81 Hai Thuong, Ward 5, Dalat City Center, Dalat, Vietnam",6.8,190476,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
