id,city,name,link,img,address,rating,price,Babysitting service,Kitchen,Shops,Massage,Swimming pool [indoor],Golf course [on-site],Family room,Table tennis,Restaurants,Playground,Garden,Sauna,Fitness center,Kids club,Poolside bar,Swimming pool [outdoor],Casino,Front desk [24-hour],Nightclub,Steamroom,Smoking area,Bar,Hot spring bath,Tennis court,Hot tub,Spa,Shared kitchen
HaNoi22,Ha Noi,Splendid Star Grand Hotel,https://www.agoda.com/splendid-star-grand-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=2,https://pix5.agoda.net/hotelImages/165281/-1/c9d7b0869230efee649a85908e4ca391.jpg?s=1024x768,"No. 14 Tho Xuong lane, Au Trieu str, Hoan Kiem District, Hanoi, Vietnam",8.7,1248128,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi23,Ha Noi,Hanoi Babylon Garden Hotel & Spa,https://www.agoda.com/hanoi-babylon-garden-hotel-spa_2/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/3552431/-1/950cd17c14754d6408a1cd5eb6410d66.jpg?s=1024x768,"25-27 Lo Su, Hoan Kiem District, Hanoi, Vietnam, 100000",9.2,1185195,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HaNoi24,Ha Noi,Spring Flower Hotel,"https://www.agoda.com/spring-flower-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=8,2",https://pix6.agoda.net/hotelImages/546247/-1/59a4729e9f9b5521e0553bde5aa85deb.jpg?s=1024x768,"45 Hang Bo, Hoan Kiem, Old Quarter, Hanoi, Vietnam",8.6,1883705,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi25,Ha Noi,Hanoi Hotel,https://www.agoda.com/hanoi-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/43399/-1/4896a5f46f818f03d501692fd68e9b28.jpg?s=1024x768,"D8 Giang Vo Street, Ba Dinh District, Ba Dinh District, Hanoi, Vietnam,",8.0,2597403,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0
HaNoi26,Ha Noi,Hanoi Lele & Frog Hotel,https://www.agoda.com/hanoi-lele-frog-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=2,https://pix5.agoda.net/hotelImages/120/1200581/1200581_16093014520047176185.jpg?s=1024x768,"3D Tong Duy Tan str,Hoan Kiem Dist,Hanoi., Hoan Kiem District, Hanoi, Vietnam, 10000",8.7,770909,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi27,Ha Noi,Angel Palace Hotel,https://www.agoda.com/angel-palace-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/295/295648/295648_14091818520022248846.jpg?s=1024x768,"173 Hang Bong Street, Hoan Kiem District, Hanoi, Vietnam",8.6,5399953,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
HaNoi28,Ha Noi,Movenpick Hotel Hanoi,https://www.agoda.com/movenpick-hotel-hanoi/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=5,https://pix5.agoda.net/hotelImages/4877926/0/8a0299c7e771b71901a242423bc8040a.jpg?s=1024x768,"83A Ly Thuong Kiet, Hoan Kiem District, Hoan Kiem District, Hanoi, Vietnam",8.3,2500000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HaNoi29,Ha Noi,Icon 36 Hotel & Residence,https://www.agoda.com/icon-36-hotel-residence/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/165/165706/165706_16103121560048296064.jpg?s=1024x768,"35 Bat Su Str., Old Quarter, Hanoi, Vietnam, 0084",8.1,817403,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
HaNoi30,Ha Noi,7S Hotel Merci Hanoi,https://www.agoda.com/hanoi-merci-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/267/267398/267398_16032318060041022369.jpg?s=1024x768,"32 Ly Thai To Street,Old Quarter,Hoan Kiem District, Hoan Kiem District, Hanoi, Vietnam",7.1,956957,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
HaNoi31,Ha Noi,OYO 155 Esalen,https://www.agoda.com/oyo-155-esalen_2/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/301786/-1/0028aae83d651645afc74d6dce7c20cd.jpg?s=1024x768,"No 49, Tran Quoc Vuong Street, Dich Vong Hau, Cau Giay District, Hanoi, Vietnam",7.8,633165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi32,Ha Noi,Top Hotel,https://www.agoda.com/top-hotel_2/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/4415623/-1/c122d78b3f7c134b7ff9444f96bd0379.jpg?s=1024x768,"188 Le Quang Dao Street, Phu Do Ward, Nam Tu Liem District, Hanoi city, My Dinh, Hanoi, Vietnam, 129100",8.0,1775238,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
HaNoi33,Ha Noi,Milton Boutique Hotel Hanoi,https://www.agoda.com/milton-boutique-hotel-hanoi/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/857832/-1/a2cc6ac6e424a839cf2806389f0afccd.jpg?s=1024x768,"40 Bat Su, Old Quarter, Hanoi, Vietnam",7.7,971429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi34,Ha Noi,Artisan Lakeview Hotel,https://www.agoda.com/artisan-lakeview-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/399/399161/399161_14062011520019945255.jpg?s=1024x768,"23B Hang Hanh, Hoan Kiem Dist., Hoan Kiem District, Hanoi, Vietnam",8.3,853946,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi35,Ha Noi,iStay Hotel Apartment 6,https://www.agoda.com/istay-hotel-apartment-6_3/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=1,https://pix6.agoda.net/hotelImages/5780741/-1/363b11fc3406d3f97f9bb934f0bf1002.jpg?s=1024x768,"No.3 Alley 148 Trần Duy Hưng Street, Cau Giay, Cau Giay District, Hanoi, Vietnam, 100000",8.6,445155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaNoi36,Ha Noi,Somerset West Point Hanoi,https://www.agoda.com/somerset-west-point-hanoi_3/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/7545391/0/907acb07d8f352eb6a198f8e130766e0.jpg?s=1024x768,"2 Tay Ho, Tay Ho District, Hanoi, Vietnam",8.9,3272500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaNoi37,Ha Noi,Luminous Viet Hotel,https://www.agoda.com/luminous-viet-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/291/291017/291017_15112416500037990232.jpg?s=1024x768,"77-79 Hang Bac, Lake nearby &amp; Night market, Old Quarter, Hanoi, Vietnam, 10000",8.5,948787,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
HaNoi38,Ha Noi,The Ann Hanoi Hotel,https://www.agoda.com/the-ann-hanoi-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/907/907630/907630_16010815510038971935.jpg?s=1024x768,"38A Hàng Chuối, Hai Ba Trung District, Hanoi, Vietnam, 100000",8.4,1715500,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
HaNoi39,Ha Noi,Melia Bavi Mountain Retreat,https://www.agoda.com/melia-bavi-mountain-retreat_2/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/4848611/0/d5e045fefa91e393756089f5f47638fe.jpg?s=1024x768,"Cote 600m, Ba Vi National Park, Ba Vi, Hanoi, Vietnam",8.9,3295464,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
HaNoi40,Ha Noi,Eclipse Legend Hotel,https://www.agoda.com/eclipse-legend-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/667/667300/667300_14072612050020502495.jpg?s=1024x768,"No.36 Hang Voi Street - Hoan Kiem District., Hoan Kiem District, Hanoi, Vietnam, 10000",8.5,1220779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaNoi41,Ha Noi,Splendid Boutique Hotel,https://www.agoda.com/splendid-boutique-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/1414688/-1/35e6d9d1f5f4caebb3907b6d9186ee24.jpg?s=1024x768,"13-15 Hang Chieu str., Hoan Kiem dist., Old Quarter, Hanoi, Vietnam, 10000",9.0,585715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaNoi42,Ha Noi,Au Viet Hotel,https://www.agoda.com/au-viet-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/119/1199483/1199483_16052514410042710323.jpg?s=1024x768,"126 Nguyen Hoang Street, My Dinh, Hanoi, Vietnam, 100000",7.7,857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaNoi43,Ha Noi,OYO 298 Namu Hotel,https://www.agoda.com/namu-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/773349/-1/007b0f1eda89b707e5c9817d15db2f17.jpg?s=1024x768,"55 Duong Dinh Nghe Road,, Cau Giay District, Hanoi, Vietnam, 10000",6.2,358884,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi44,Ha Noi,OYO 214 Aloha Hotel Hanoi,https://www.agoda.com/oyo-214-aloha-hotel-hanoi/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix6.agoda.net/hotelImages/7245282/-1/0f8578c1cadaac4d968bd204eeac84b0.jpg?s=1024x768,"Aloha Hotel, 74A Lane 28, Xuan La street, Xuan La ward, Tay Ho district, Hanoi, Tay Ho District, Hanoi, Vietnam, 100000",8.4,466944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
